,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,new_title,loc_city,hq_city
0,"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K,3.2,Vera Institute of Justice,"New York, NY","New York, NY",201 to 500 employees,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),Analyst Remote,New York,New York
1,Quality Data Analyst,$37K-$66K,3.8,Visiting Nurse Service of New York,"New York, NY","New York, NY",10000+ employees,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),Data Analyst,New York,New York
2,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K,3.4,Squarespace,"New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Analytics Solutions,New York,New York
3,Data Analyst,$37K-$66K,4.1,Celerity,"New York, NY","McLean, VA",201 to 500 employees,2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),Data Analyst,New York,McLean
4,Reporting Data Analyst,$37K-$66K,3.9,FanDuel,"New York, NY","New York, NY",501 to 1000 employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),Reporting Analyst,New York,New York
5,Data Analyst,$37K-$66K,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Data Analyst,New York,Stamford
6,Business/Data Analyst (FP&A),$37K-$66K,4.4,Two Sigma,"New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Data Analyst,New York,New York
7,Data Science Analyst,$37K-$66K,3.7,GNY Insurance Companies,"New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),Data Analyst,New York,New York
8,Data Analyst,$37K-$66K,4.0,DMGT,"New York, NY","London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),Data Analyst,New York,London
9,"Data Analyst, Merchant Health",$37K-$66K,4.4,Riskified,"New York, NY","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,Data Analyst,New York,New York
10,Data Analyst,$37K-$66K,4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),Data Analyst,New York,New York
11,Data Analyst,$37K-$66K,-1.0,BulbHead,"Fairfield, NJ",-1,1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Data Analyst,Fairfield,-1
12,DATA ANALYST,$37K-$66K,3.7,Montefiore Medical,"New York, NY","Bronx, NY",10000+ employees,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),Data Analyst,New York,Bronx
13,Senior Data Analyst,$37K-$66K,3.0,Known,"New York, NY","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),Senior Analyst,New York,New York
14,Investment Advisory Data Analyst,$37K-$66K,3.4,Advisor Group,"Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),Senior Analyst,Jersey City,Phoenix
15,Sustainability Data Analyst,$37K-$66K,3.6,CodeGreen Solutions,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,Analyst Analyst,New York,New York
16,Data Analyst,$37K-$66K,3.8,Undertone,"New York, NY","New York, NY",201 to 500 employees,2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Data Analyst,New York,New York
17,Clinical Data Analyst,$37K-$66K,3.8,NYSTEC,"New York, NY","Rome, NY",51 to 200 employees,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),Data Analyst,New York,Rome
18,DATA PROGRAMMER/ANALYST,$37K-$66K,3.9,"Education Development Center, Inc.","New York, NY","Waltham, MA",501 to 1000 employees,1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),Data Analyst,New York,Waltham
19,Data Analyst,$37K-$66K,4.9,Teachers Pay Teachers,"New York, NY","New York, NY",51 to 200 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Data Analyst,New York,New York
20,"Product Analyst, Data Science",$37K-$66K,4.4,Google,"New York, NY","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Analyst Data,New York,Mountain View
21,Data Science Analyst,$37K-$66K,-1.0,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,Data Analyst,New York,Marina del Rey
22,Data Analyst - Intex Developer,$37K-$66K,3.3,Macquarie Group,"New York, NY","Sydney, Australia",10000+ employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Data Analyst,New York,Sydney
23,Data Analyst,$37K-$66K,3.5,Andiamo,"New York, NY","Warren, MI",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),Data Analyst,New York,Warren
24,Entry Level / Jr. Data Analyst,$37K-$66K,3.8,Dash Technologies Inc,"New York, NY","Columbus, OH",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,Data Analyst,New York,Columbus
25,Data Analyst,$37K-$66K,4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),Data Analyst,New York,San Francisco
26,Data + Business Intelligence Analyst,$37K-$66K,5.0,Duolingo,"New York, NY","Pittsburgh, PA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),Business Intelligence,New York,Pittsburgh
