iter	MultiClass
0	1.08911745
1	1.079668319
2	1.070023419
3	1.061133204
4	1.052764126
5	1.043746305
6	1.035452889
7	1.02842704
8	1.021480194
9	1.014907243
10	1.008900429
11	1.003206462
12	0.9981678314
13	0.9924922875
14	0.9863383774
15	0.9820324651
16	0.9771365381
17	0.9725115325
18	0.9683771485
19	0.965137565
20	0.9628021252
21	0.9590133446
22	0.9557766594
23	0.952497177
24	0.9492790472
25	0.9462212506
26	0.942294048
27	0.940052745
28	0.9366411572
29	0.9342407499
30	0.9313096809
31	0.9285862444
32	0.926691602
33	0.9237907885
34	0.9213713451
35	0.9190342103
36	0.9168651899
37	0.9145080732
38	0.9122977129
39	0.9103929586
40	0.9088066151
41	0.9057935418
42	0.9035970565
43	0.9013727328
44	0.8995246643
45	0.8979504714
46	0.8961825505
47	0.8942400645
48	0.8925383983
49	0.8904162296
50	0.8892111968
51	0.8871245196
52	0.8851274637
53	0.8832866565
54	0.8812585171
55	0.8797406494
56	0.8785381224
57	0.8770306697
58	0.8756648087
59	0.8741756578
60	0.8721851394
61	0.8704010728
62	0.8692568286
63	0.866980891
64	0.8654936429
65	0.8639953895
66	0.8627554804
67	0.8604104526
68	0.8595363856
69	0.8582982432
70	0.8568907956
71	0.8554404037
72	0.8544074391
73	0.8536501254
74	0.8523932497
75	0.8508212363
76	0.8491890517
77	0.8476411959
78	0.8454626015
79	0.8444280717
80	0.843744555
81	0.8420794732
82	0.8411553607
83	0.8393346258
84	0.8382451
85	0.8368025773
86	0.8356154422
87	0.8341780671
88	0.8334227692
89	0.8330198339
90	0.8318331403
91	0.8310019078
92	0.8300803368
93	0.8289067176
94	0.8280159845
95	0.8270845393
96	0.8265336642
97	0.8248778267
98	0.8238514333
99	0.8227916635
100	0.8216138983
101	0.820313331
102	0.8197029533
103	0.8190893551
104	0.8184368191
105	0.8178424764
106	0.8161204166
107	0.8154372302
108	0.8150161009
109	0.8134240024
110	0.8122266478
111	0.8115762287
112	0.8099755035
113	0.8094120743
114	0.8082778165
115	0.8074471724
116	0.8067901591
117	0.8063232948
118	0.8062112814
119	0.8055103943
120	0.8040680863
121	0.8027953988
122	0.8017466953
123	0.8006463187
124	0.7996656105
125	0.798820091
126	0.7976389294
127	0.7963988125
128	0.7953665238
129	0.7949282378
130	0.7936768861
131	0.7928339237
132	0.7922421834
133	0.7916920248
134	0.790441729
135	0.7899618804
136	0.7892312845
137	0.7882819475
138	0.7877518701
139	0.7864569833
140	0.7855437208
141	0.7839670296
142	0.7827595527
143	0.7815823607
144	0.7802276794
145	0.7794224316
146	0.77760331
147	0.777094737
148	0.7763275917
149	0.7748238
150	0.7738508993
151	0.772930109
152	0.7723090147
153	0.7711356764
154	0.7702991878
155	0.7688869716
156	0.7676024684
157	0.7671902642
158	0.7662815531
159	0.7654623404
160	0.7650116405
161	0.7641483002
162	0.7631854076
163	0.7623521691
164	0.7615395906
165	0.7600926906
166	0.7592944513
167	0.7588167822
168	0.758012729
169	0.7571092917
170	0.7561453146
171	0.7553004416
172	0.754268406
173	0.7541121011
174	0.7532755068
175	0.752557235
176	0.7520815777
177	0.7514703731
178	0.7503610639
179	0.7496440673
180	0.7489785077
181	0.7485840609
182	0.7478586293
183	0.7467625476
184	0.7454926525
185	0.7450085755
186	0.7434406807
187	0.7425374876
188	0.741680033
189	0.7408447383
190	0.7406010263
191	0.7401781917
192	0.7395762638
193	0.7388007041
194	0.7383916008
195	0.7380914926
196	0.7375784484
197	0.7365851261
198	0.7361872746
199	0.7353143138
200	0.7340424189
201	0.7333048651
202	0.7324445296
203	0.7311394349
204	0.7303903785
205	0.7299164235
206	0.7294061369
207	0.7290379967
208	0.7287236443
209	0.7282964615
210	0.7269854867
211	0.7262688569
212	0.7249510867
213	0.7249439073
214	0.7235477992
215	0.7228731307
216	0.7223169889
217	0.7217797017
218	0.7209762315
219	0.7199042929
220	0.7189645334
221	0.7177218554
222	0.7166079865
223	0.7162938102
224	0.7152682379
225	0.7143480822
226	0.7134642448
227	0.7128474472
228	0.7119428343
229	0.7108623373
230	0.7103347575
231	0.7094793781
232	0.7090318069
233	0.7085133918
234	0.7074911273
235	0.7060226119
236	0.7048579138
237	0.7041809818
238	0.7038257429
239	0.7029491236
240	0.7017151395
241	0.7005292933
242	0.6997362825
243	0.698763473
244	0.6981666769
245	0.6976951734
246	0.6965940071
247	0.6962599792
248	0.6952143812
249	0.6946329818
250	0.6939136219
251	0.6931647627
252	0.6926676698
253	0.6920304994
254	0.6907735298
255	0.6902957023
256	0.6891437778
257	0.6886229934
258	0.686705543
259	0.6860384797
260	0.6850637904
261	0.6839000032
262	0.6832568638
263	0.6823766027
264	0.681952237
265	0.6810567972
266	0.6799279415
267	0.6792128059
268	0.6783812751
269	0.6778333709
270	0.6770192685
271	0.6763271055
272	0.6754292399
273	0.6744056358
274	0.6732804215
275	0.6722624996
276	0.6717951884
277	0.6703070922
278	0.6694910433
279	0.66907843
280	0.6686033486
281	0.6677765446
282	0.6666305269
283	0.6658002387
284	0.6650065509
285	0.6642612392
286	0.6638821216
287	0.663137249
288	0.6616059568
289	0.6606229588
290	0.6594139444
291	0.6585686155
292	0.6579629032
293	0.6574465418
294	0.6560106494
295	0.6553974379
296	0.6544890066
297	0.6535770701
298	0.6532183257
299	0.6526927636
300	0.6520116064
301	0.6510478869
302	0.650450618
303	0.6493692611
304	0.6488268838
305	0.6483292608
306	0.6473471997
307	0.6468450375
308	0.6459300054
309	0.6449347921
310	0.644225102
311	0.6432549919
312	0.6426203176
313	0.6416826885
314	0.6410797284
315	0.6404612488
316	0.6397864452
317	0.6390898193
318	0.6386910124
319	0.6378157139
320	0.6373018456
321	0.6367117979
322	0.6361040463
323	0.6352909303
324	0.6342973506
325	0.6337355307
326	0.633098456
327	0.6324474259
328	0.6316412155
329	0.6307285783
330	0.6299739589
331	0.6294009663
332	0.6287215292
333	0.628150363
334	0.6273592125
335	0.6266269043
336	0.6261442948
337	0.6256817336
338	0.6251577073
339	0.6241907386
340	0.6231228501
341	0.6223467697
342	0.6219425014
343	0.6214218031
344	0.6203145697
345	0.6195532155
346	0.6189410836
347	0.6184784168
348	0.6177922544
349	0.6161944137
350	0.6153631988
351	0.6149329327
352	0.6141399715
353	0.6129280193
354	0.6123018076
355	0.6116139743
356	0.6110854931
357	0.6107661571
358	0.6101471854
359	0.6095132736
360	0.6089861794
361	0.6084128555
362	0.6079844719
363	0.6071625367
364	0.6061696669
365	0.6053495033
366	0.6044923024
367	0.6040654974
368	0.6038539392
369	0.6034553656
370	0.6028553694
371	0.6023721078
372	0.6021685734
373	0.6012015265
374	0.6008988756
375	0.6003513966
376	0.5989718527
377	0.5986010126
378	0.5982257187
379	0.5978978806
380	0.5974282992
381	0.5969050082
382	0.5961091245
383	0.5951782837
384	0.5945163406
385	0.5941769488
386	0.5935676754
387	0.5925532745
388	0.5917717129
389	0.5912770334
390	0.590888234
391	0.5900540691
392	0.58943237
393	0.5890897842
394	0.588475768
395	0.5877529916
396	0.5873666228
397	0.5872196285
398	0.5869040115
399	0.5863098482
400	0.5859627131
401	0.5853897075
402	0.5846259888
403	0.5836508141
404	0.5831883379
405	0.5821924122
406	0.581549642
407	0.5808892474
408	0.5800663778
409	0.5794757932
410	0.5788767655
411	0.5779034628
412	0.57699209
413	0.5762289311
414	0.5754649214
415	0.5750375783
416	0.5738215872
417	0.5734018953
418	0.5726693155
419	0.5720546051
420	0.5713264606
421	0.5709318088
422	0.5699517823
423	0.5695208479
424	0.5690871437
425	0.5686260674
426	0.5679567416
427	0.5671348832
428	0.5665421039
429	0.5658755417
430	0.5651621348
431	0.564495562
432	0.5640561342
433	0.5636026592
434	0.5628793751
435	0.5622606038
436	0.5616352344
437	0.5609257772
438	0.5598955647
439	0.5593220122
440	0.5589854859
441	0.5583706447
442	0.5573876427
443	0.5567508679
444	0.5564570645
445	0.555975687
446	0.5556748134
447	0.555131625
448	0.5546557727
449	0.5542876246
450	0.5536576137
451	0.552802362
452	0.5525153177
453	0.5520279907
454	0.5515242781
455	0.5511328091
456	0.5507765391
457	0.5502141772
458	0.5495276941
459	0.5490086101
460	0.5483179288
461	0.5480057281
462	0.5474731024
463	0.5466989946
464	0.5461854908
465	0.5456150876
466	0.5449975498
467	0.5442467786
468	0.5438248116
469	0.5433166399
470	0.542629938
471	0.5424368423
472	0.5414824017
473	0.5410679587
474	0.540573125
475	0.5401271408
476	0.5396793758
477	0.538741379
478	0.5381890643
479	0.5375542294
480	0.5370673933
481	0.5366406126
482	0.5362064062
483	0.5355038376
484	0.5351857634
485	0.5348837839
486	0.5343491352
487	0.5338213658
488	0.5333666206
489	0.532549675
490	0.5319784248
491	0.5313925535
492	0.5306377054
493	0.5298310669
494	0.5287950765
495	0.528387322
496	0.5278879128
497	0.5273423424
498	0.5269634824
499	0.5266516136
500	0.5263943549
501	0.5260655672
502	0.5253032503
503	0.5249054683
504	0.5240187519
505	0.523705115
506	0.5231760396
507	0.5228068467
508	0.5223118557
509	0.5218957254
510	0.5211158127
511	0.5209372695
512	0.5201450975
513	0.5197358733
514	0.5193578644
515	0.5189377391
516	0.5180637549
517	0.5176151871
518	0.5169921883
519	0.5161914124
520	0.5158620335
521	0.5156638467
522	0.5151046642
523	0.5148492221
524	0.5144976018
525	0.5140521173
526	0.5136252761
527	0.5130856267
528	0.5125461714
529	0.5123105918
530	0.5115486919
531	0.5108642885
532	0.5103379901
533	0.5094161033
534	0.5090556547
535	0.5081362993
536	0.507695636
537	0.5074766585
538	0.5067158751
539	0.5064062288
540	0.5055146368
541	0.504755889
542	0.5042940321
543	0.5037633757
544	0.5029837367
545	0.502319211
546	0.5014708666
547	0.5012350099
548	0.5007196247
549	0.5003791413
550	0.4997301833
551	0.4993855595
552	0.4990448225
553	0.4984356568
554	0.4978656775
555	0.4974734148
556	0.4970508708
557	0.4963747336
558	0.4955946231
559	0.4952330304
560	0.4949496492
561	0.4946809956
562	0.4940906103
563	0.4934045825
564	0.4929673355
565	0.4925971366
566	0.4920154139
567	0.4919042843
568	0.491412617
569	0.4909843679
570	0.4906030988
571	0.4903779102
572	0.490088066
573	0.4892649327
574	0.4886588055
575	0.4880863302
576	0.4877829732
577	0.4871979238
578	0.4864147018
579	0.4861250269
580	0.4856494007
581	0.4852618304
582	0.4850335793
583	0.4846240826
584	0.4839627684
585	0.4834798462
586	0.483234733
587	0.4827293533
588	0.4823497081
589	0.4820405562
590	0.4814970599
591	0.4813541085
