iter	Passed	Remaining
0	29	29030
1	60	30359
2	88	29459
3	117	29379
4	131	26119
5	159	26479
6	187	26527
7	219	27231
8	249	27452
9	285	28248
10	397	35728
11	520	42880
12	557	42339
13	692	48773
14	822	54024
15	952	58573
16	1035	59878
17	1064	58065
18	1069	55237
19	1138	55774
20	1180	55049
21	1223	54388
22	1259	53519
23	1298	52799
24	1405	54797
25	1457	54596
26	1515	54616
27	1561	54215
28	1601	53609
29	1640	53050
30	1677	52426
31	1722	52116
32	1759	51568
33	1797	51068
34	1816	50093
35	1860	49822
36	1898	49418
37	1935	49003
38	1976	48706
39	2013	48313
40	2047	47891
41	2093	47744
42	2136	47544
43	2175	47267
44	2209	46888
45	2256	46788
46	2305	46748
47	2352	46651
48	2403	46643
49	2465	46842
50	2549	47446
51	2595	47316
52	2652	47389
53	2700	47302
54	2759	47408
55	2806	47308
56	2851	47174
57	2877	46733
58	2904	46317
59	2930	45912
60	2957	45530
61	2986	45187
62	3016	44868
63	3043	44507
64	3075	44241
65	3106	43955
66	3136	43682
67	3164	43375
68	3192	43079
69	3220	42793
70	3248	42501
71	3275	42219
72	3300	41908
73	3329	41664
74	3357	41406
75	3385	41160
76	3412	40910
77	3439	40653
78	3465	40405
79	3491	40151
80	3519	39927
81	3545	39688
82	3571	39456
83	3595	39213
84	3624	39016
85	3653	38826
86	3683	38660
87	3711	38468
88	3742	38309
89	3775	38172
90	3805	38008
91	3833	37832
92	3862	37665
93	3892	37516
94	3924	37384
95	3951	37213
96	3982	37073
97	4011	36924
98	4039	36759
99	4067	36607
100	4095	36457
101	4123	36304
102	4154	36182
103	4184	36049
104	4214	35925
105	4220	35592
106	4244	35427
107	4276	35319
108	4292	35084
109	4327	35012
110	4377	35057
111	4427	35106
112	4478	35155
113	4515	35091
114	4548	35003
115	4588	34968
116	4629	34938
117	4663	34860
118	4698	34786
119	4732	34702
120	4770	34655
121	4785	34439
122	4795	34192
123	4827	34106
124	4865	34055
125	4898	33977
126	4928	33880
127	4957	33774
128	4986	33668
129	5014	33557
130	5043	33459
131	5072	33355
132	5100	33249
133	5127	33139
134	5156	33039
135	5185	32945
136	5215	32852
137	5242	32745
138	5269	32638
139	5297	32544
140	5324	32437
141	5351	32334
142	5379	32239
143	5407	32141
144	5436	32058
145	5465	31969
146	5494	31882
147	5523	31799
148	5555	31729
149	5587	31663
150	5626	31632
151	5667	31617
152	5702	31566
153	5732	31493
154	5778	31500
155	5812	31444
156	5850	31411
157	5879	31334
158	5914	31284
159	5947	31222
160	5977	31151
161	6008	31078
162	6035	30993
163	6066	30926
164	6170	31225
165	6237	31336
166	6289	31373
167	6331	31356
168	6367	31311
169	6411	31302
170	6442	31234
171	6480	31194
172	6527	31205
173	6562	31154
174	6598	31107
175	6632	31052
176	6670	31015
177	6704	30962
178	6739	30909
179	6768	30835
180	6798	30763
181	6827	30686
182	6856	30608
183	6886	30537
184	6914	30461
185	6943	30388
186	6973	30316
187	7001	30240
188	7029	30162
189	7060	30098
190	7090	30033
191	7121	29969
192	7149	29896
193	7179	29827
194	7209	29761
195	7236	29683
196	7267	29622
197	7296	29554
198	7325	29487
199	7354	29418
200	7383	29351
201	7412	29281
202	7440	29210
203	7469	29146
204	7500	29088
205	7530	29023
206	7556	28949
207	7585	28883
208	7617	28829
209	7658	28810
210	7702	28802
211	7742	28778
212	7772	28719
213	7799	28648
214	7829	28585
215	7858	28524
216	7894	28484
217	7930	28448
218	7967	28413
219	7994	28344
220	8024	28287
221	8053	28225
222	8082	28161
223	8111	28101
224	8146	28059
225	8176	28002
226	8207	27948
227	8238	27894
228	8270	27844
229	8300	27790
230	8350	27797
231	8386	27763
232	8419	27716
233	8463	27705
234	8499	27667
235	8528	27608
236	8556	27546
237	8605	27550
238	8637	27501
239	8671	27461
240	8704	27414
241	8739	27374
242	8779	27348
243	8807	27289
244	8848	27266
245	8882	27224
246	8921	27199
247	8966	27187
248	9009	27173
249	9052	27157
250	9088	27121
251	9124	27083
252	9160	27046
253	9207	27041
254	9236	26985
255	9266	26930
256	9298	26881
257	9327	26826
258	9356	26768
259	9385	26713
260	9431	26705
261	9466	26664
262	9509	26647
263	9547	26617
264	9572	26551
265	9604	26501
266	9635	26452
267	9663	26395
268	9699	26359
269	9745	26347
270	9804	26375
271	9840	26336
272	9873	26293
273	9913	26266
274	9947	26224
275	9982	26186
276	10018	26150
277	10049	26100
278	10097	26093
279	10152	26105
280	10190	26075
281	10219	26018
282	10247	25963
283	10288	25937
284	10328	25911
285	10358	25860
286	10391	25816
287	10427	25779
288	10456	25724
289	10490	25684
290	10527	25650
291	10567	25622
292	10598	25573
293	10634	25537
294	10672	25505
295	10760	25593
296	10799	25562
297	10834	25522
298	10864	25471
299	10893	25418
300	10926	25374
301	10957	25325
302	10987	25274
303	11015	25219
304	11044	25167
305	11079	25128
306	11119	25100
307	11150	25053
308	11176	24994
309	11202	24935
310	11235	24890
311	11266	24843
312	11302	24807
313	11357	24813
314	11392	24774
315	11420	24719
316	11449	24668
317	11495	24652
318	11533	24620
319	11567	24581
320	11602	24542
321	11632	24494
322	11663	24446
323	11699	24409
324	11733	24369
325	11765	24325
326	11796	24277
327	11827	24232
328	11855	24180
329	11886	24132
330	11929	24111
331	11967	24078
332	11995	24027
333	12023	23974
334	12050	23921
335	12081	23874
336	12122	23849
337	12156	23809
338	12194	23776
339	12224	23730
340	12252	23679
341	12286	23639
342	12320	23598
343	12357	23565
344	12412	23566
345	12452	23537
346	12491	23507
347	12531	23478
348	12566	23440
349	12604	23408
350	12659	23406
351	12694	23369
352	12726	23325
353	12782	23326
354	12839	23328
355	12889	23316
356	12936	23300
357	12967	23255
358	12997	23207
359	13026	23157
360	13052	23104
361	13083	23058
362	13111	23007
363	13137	22954
364	13168	22909
365	13199	22865
366	13228	22816
367	13256	22766
368	13289	22725
369	13320	22681
370	13353	22639
371	13396	22616
372	13446	22602
373	13486	22574
374	13529	22548
375	13567	22515
376	13609	22490
377	13654	22468
378	13690	22432
379	13730	22401
380	13768	22369
381	13807	22338
382	13845	22304
383	13891	22284
384	13945	22277
385	13986	22247
386	14027	22219
387	14076	22202
388	14120	22178
389	14152	22136
390	14179	22084
391	14206	22034
392	14235	21986
393	14263	21938
394	14293	21892
395	14325	21849
396	14354	21803
397	14381	21753
398	14409	21705
399	14438	21658
400	14467	21611
401	14506	21578
402	14534	21531
403	14563	21484
404	14592	21438
405	14621	21391
406	14648	21342
407	14675	21293
408	14702	21245
409	14731	21198
410	14758	21149
411	14788	21105
412	14816	21059
413	14846	21014
414	14876	20969
415	14905	20925
416	14936	20882
417	14971	20845
418	15005	20806
419	15037	20765
420	15067	20721
421	15095	20675
422	15123	20629
423	15153	20586
424	15182	20540
425	15209	20494
426	15241	20452
427	15274	20413
428	15304	20370
429	15344	20340
430	15373	20296
431	15408	20258
432	15439	20217
433	15469	20174
434	15499	20131
435	15526	20084
436	15556	20042
437	15584	19996
438	15612	19951
439	15642	19908
440	15671	19865
441	15703	19824
442	15732	19781
443	15761	19737
444	15791	19694
445	15826	19658
446	15858	19618
447	15887	19575
448	15917	19533
449	15963	19511
450	15992	19467
451	16025	19429
452	16054	19385
453	16082	19341
454	16111	19298
455	16139	19254
456	16167	19210
457	16196	19166
458	16226	19125
459	16255	19082
460	16285	19041
461	16314	18998
462	16344	18957
463	16375	18916
464	16404	18873
465	16433	18831
466	16462	18789
467	16492	18748
468	16524	18708
469	16553	18666
470	16599	18643
471	16628	18601
472	16658	18560
473	16686	18517
474	16717	18477
475	16749	18438
476	16789	18408
477	16817	18365
478	16846	18324
479	16875	18281
480	16922	18259
481	16970	18238
482	17022	18220
483	17059	18187
484	17102	18160
485	17151	18139
486	17196	18114
487	17235	18083
488	17274	18051
489	17317	18023
490	17351	17987
491	17384	17949
492	17421	17915
493	17457	17881
494	17494	17847
495	17529	17811
496	17564	17776
497	17598	17739
498	17632	17702
499	17668	17668
500	17704	17633
