iter	MultiClass
0	1.079669314
1	1.062556726
2	1.04687701
3	1.033732638
4	1.020851154
5	1.009116092
6	0.9987310869
7	0.9893106533
8	0.9822819358
9	0.9743143229
10	0.9665826061
11	0.9593703558
12	0.9528697445
13	0.9472496767
14	0.9416802796
15	0.9365938034
16	0.9323733237
17	0.928313101
18	0.9242550711
19	0.9207414986
20	0.917088819
21	0.9139337632
22	0.9105472079
23	0.9075115773
24	0.9046606536
25	0.9020844102
26	0.9004752856
27	0.8982995343
28	0.8960187471
29	0.8945810027
30	0.8928660316
31	0.8908604949
32	0.8886347375
33	0.8865923697
34	0.8843314949
35	0.8822036424
36	0.8805255611
37	0.879084769
38	0.8777344813
39	0.8762024163
40	0.8743272716
41	0.8729966227
42	0.8714399633
43	0.8701059555
44	0.8687984168
45	0.8677928652
46	0.8669425544
47	0.8658439527
48	0.8652561544
49	0.8641686912
50	0.8638003856
51	0.8628798183
52	0.8618561194
53	0.8611499595
54	0.8607038821
55	0.8601172788
56	0.8595571782
57	0.8590596935
58	0.8583331485
59	0.8579970711
60	0.8574463446
61	0.8568511249
62	0.8561140364
63	0.8557734442
64	0.8554096569
65	0.8546625687
66	0.8545366407
67	0.8542632762
68	0.8540566709
69	0.8533863486
70	0.8530804632
71	0.8526813812
72	0.8521841453
73	0.8517639391
74	0.8516009168
75	0.8513279036
76	0.8511016348
77	0.8508083888
78	0.8505926026
79	0.8501747502
80	0.8499493453
81	0.8496823995
82	0.8494797966
83	0.8491813444
84	0.8487877104
85	0.8484063713
86	0.8481940103
87	0.8475519726
88	0.847461068
89	0.8467488076
90	0.8465390131
91	0.8463786162
92	0.8460684558
93	0.845844622
94	0.8452710763
95	0.8450501176
96	0.8448022836
97	0.8446868229
98	0.8446116651
99	0.8444492811
100	0.8442317298
101	0.8440264495
102	0.8438281263
103	0.843778252
104	0.8434865442
105	0.8430780668
106	0.8428115508
107	0.8426465705
108	0.8423624538
109	0.8423017851
110	0.8420115416
111	0.8418594204
112	0.8415744073
113	0.841248369
114	0.8408216552
115	0.840692965
116	0.8405581073
117	0.8403736068
118	0.8402531584
119	0.8401840895
120	0.8401183265
121	0.8400113253
122	0.8398758908
123	0.8398758734
124	0.8394727354
125	0.8392849371
126	0.8390944242
127	0.8388400084
128	0.838639541
129	0.8384096281
130	0.8381769631
131	0.8381246048
132	0.8379959771
133	0.8379828455
134	0.8379234427
135	0.8378735482
136	0.8377157148
137	0.8374486395
138	0.8373787524
139	0.8371433069
140	0.837027142
141	0.8368831598
142	0.8368500501
143	0.836821108
144	0.8366642666
145	0.8363679158
146	0.8361970661
147	0.836140647
148	0.835788695
149	0.8357340165
150	0.8356029558
151	0.8355482528
152	0.8355049666
153	0.8353397854
154	0.8351915793
155	0.8349992662
156	0.8348210384
157	0.8347151357
158	0.8345925952
159	0.8345925932
160	0.83443929
161	0.8343685705
162	0.8343627766
163	0.8342106685
164	0.8340337208
165	0.8339583145
166	0.8338868712
167	0.8337225685
168	0.833678821
169	0.8335582903
170	0.8335002133
171	0.8334540304
172	0.8332160972
173	0.8330498658
174	0.8330195901
175	0.8329793664
176	0.8329119046
177	0.8328718615
178	0.8327147654
179	0.8326394861
180	0.8323855301
181	0.8322135612
182	0.8321116908
183	0.8319847741
184	0.8317263071
185	0.8315554071
186	0.8315214078
187	0.831464841
188	0.8314244454
189	0.8312734185
190	0.8312001503
191	0.8311234055
192	0.8309792244
193	0.8308521368
194	0.830772102
195	0.8307198261
196	0.8306333972
197	0.8306049125
198	0.8304144274
199	0.8302793114
200	0.8300843112
201	0.8300227948
202	0.829924174
203	0.8297573794
204	0.8296563289
205	0.8294504559
206	0.8293568125
207	0.8292557771
208	0.8291052144
209	0.8288572845
210	0.8287691747
211	0.8286705772
212	0.8283895432
213	0.8282288452
214	0.8281571515
215	0.8280667987
216	0.8280189324
217	0.8279755988
218	0.827854558
219	0.8277881603
220	0.827719771
221	0.8276359951
222	0.8275989634
223	0.8275194776
224	0.8274209046
225	0.8272745692
226	0.8272334148
227	0.8271336711
228	0.8271257019
229	0.8270993167
230	0.8269769795
231	0.8268392359
232	0.8266406836
233	0.8265322447
234	0.8263418379
235	0.8262772693
236	0.8261393179
237	0.8260156233
238	0.8258913414
239	0.8258723719
240	0.8257392316
241	0.8256368989
242	0.8253451673
243	0.8252781978
244	0.8252011069
245	0.8251820555
246	0.8249804646
247	0.8249215585
248	0.8248341441
249	0.8246891203
250	0.8245539354
251	0.8244830849
252	0.8243477905
253	0.8243080772
254	0.8241828522
255	0.8240935062
256	0.8240008678
257	0.8238058316
258	0.8236161444
259	0.8235166896
260	0.8234493558
261	0.8233736274
262	0.8233067003
263	0.8232105074
264	0.8230776969
265	0.82288388
266	0.8227945743
267	0.8227359758
268	0.8226537029
269	0.822563669
270	0.8225022615
271	0.8224319415
272	0.8223672567
273	0.8222553424
274	0.8220562576
275	0.8220232488
276	0.8219978086
277	0.8219016113
278	0.8217715087
279	0.8216001093
280	0.8215578433
281	0.8215405884
282	0.8214456242
283	0.8213621008
284	0.8212426996
285	0.8211799311
286	0.821083451
287	0.8209243688
288	0.8208654333
289	0.8208106644
290	0.8206667557
291	0.8206049548
292	0.8205550576
293	0.8202757358
294	0.8201904455
295	0.8201577782
296	0.8200810278
297	0.8199853594
298	0.8198659076
299	0.8197430968
