iter	Passed	Remaining
0	36	10877
1	71	10719
2	100	9977
3	123	9173
4	147	8677
5	172	8452
6	197	8265
7	220	8047
8	246	7963
9	271	7865
10	296	7793
11	320	7684
12	343	7591
13	383	7838
14	411	7814
15	440	7825
16	476	7929
17	551	8633
18	611	9051
19	655	9176
20	688	9144
21	722	9136
22	758	9139
23	787	9057
24	814	8959
25	840	8859
26	864	8738
27	888	8630
28	916	8567
29	957	8618
30	991	8600
31	1026	8600
32	1060	8582
33	1090	8533
34	1123	8504
35	1157	8486
36	1191	8467
37	1219	8407
38	1249	8364
39	1276	8296
40	1301	8224
41	1325	8142
42	1349	8063
43	1373	7990
44	1397	7918
45	1420	7845
46	1449	7802
47	1478	7764
48	1504	7704
49	1527	7636
50	1551	7576
51	1576	7516
52	1600	7458
53	1623	7396
54	1650	7353
55	1696	7392
56	1733	7390
57	1770	7388
58	1813	7406
59	1852	7409
60	1890	7407
61	1953	7497
62	2018	7593
63	2066	7619
64	2090	7558
65	2117	7508
66	2133	7421
67	2157	7359
68	2182	7305
69	2207	7251
70	2230	7195
71	2253	7135
72	2275	7076
73	2300	7027
74	2324	6973
75	2348	6921
76	2371	6868
77	2397	6824
78	2418	6764
79	2441	6715
80	2461	6656
81	2488	6615
82	2512	6568
83	2536	6521
84	2564	6485
85	2593	6454
86	2635	6452
87	2675	6446
88	2706	6417
89	2740	6395
90	2767	6355
91	2790	6308
92	2812	6260
93	2835	6213
94	2861	6173
95	2880	6120
96	2902	6075
97	2926	6031
98	2948	5986
99	2971	5943
100	2995	5901
101	3018	5858
102	3030	5795
103	3058	5763
104	3080	5721
105	3104	5681
106	3128	5643
107	3152	5603
108	3175	5564
109	3198	5525
110	3207	5461
111	3230	5422
112	3252	5383
113	3275	5344
114	3298	5306
115	3313	5256
116	3337	5219
117	3362	5186
118	3385	5149
119	3408	5113
120	3433	5079
121	3461	5049
122	3491	5023
123	3515	4990
124	3539	4954
125	3562	4920
126	3586	4885
127	3609	4850
128	3633	4816
129	3655	4780
130	3678	4745
131	3700	4710
132	3723	4674
133	3738	4631
134	3761	4597
135	3783	4562
136	3806	4529
137	3829	4495
138	3854	4464
139	3877	4430
140	3899	4397
141	3922	4364
142	3945	4332
143	3968	4299
144	3991	4267
145	4014	4234
146	4038	4202
147	4067	4177
148	4090	4145
149	4112	4112
150	4135	4081
151	4161	4051
152	4185	4021
153	4208	3989
154	4231	3958
155	4253	3926
156	4277	3896
157	4300	3864
158	4323	3834
159	4346	3802
160	4368	3771
161	4392	3741
162	4415	3711
163	4438	3680
164	4461	3649
165	4488	3623
166	4517	3597
167	4541	3568
168	4564	3538
169	4586	3507
170	4609	3477
171	4633	3448
172	4656	3418
173	4679	3388
174	4702	3359
175	4726	3329
176	4750	3301
177	4773	3271
178	4796	3242
179	4818	3212
180	4841	3183
181	4866	3154
182	4889	3126
183	4912	3096
184	4935	3067
185	4959	3039
186	4982	3010
187	5006	2982
188	5029	2953
189	5053	2925
190	5077	2897
191	5106	2872
192	5128	2843
193	5153	2816
194	5177	2787
195	5200	2759
196	5224	2731
197	5246	2702
198	5269	2674
199	5310	2655
200	5338	2629
201	5366	2603
202	5393	2577
203	5419	2550
204	5447	2524
205	5474	2497
206	5502	2471
207	5531	2446
208	5557	2419
209	5580	2391
210	5604	2363
211	5627	2335
212	5650	2307
213	5673	2279
214	5695	2251
215	5718	2223
216	5741	2196
217	5765	2168
218	5788	2140
219	5810	2112
220	5833	2085
221	5856	2057
222	5882	2031
223	5909	2005
224	5937	1979
225	5965	1953
226	5992	1927
227	6019	1900
228	6043	1873
229	6066	1846
230	6099	1821
231	6124	1795
232	6148	1768
233	6171	1740
234	6195	1713
235	6218	1686
236	6241	1659
237	6264	1631
238	6287	1604
239	6311	1577
240	6334	1550
241	6357	1523
242	6381	1496
243	6405	1470
244	6429	1443
245	6452	1416
246	6475	1389
247	6498	1362
248	6530	1337
249	6556	1311
250	6579	1284
251	6601	1257
252	6624	1230
253	6648	1203
254	6669	1176
255	6692	1150
256	6715	1123
257	6738	1097
258	6762	1070
259	6784	1043
260	6807	1017
261	6829	990
262	6852	964
